CASE_NAME,ABS_WF_D,STAT_CC_D,STAT_CC_A,STAT_CC_D_AN,STAT_CC_A_CA,STAT_N,STAT_N_D,STAT_N_A,ABS_F_D,CT_F_CONN_D,CT_F_CONN_D_AN,CT_F_CONN_A_CA,DISS_WF10_D,DISS_F10_D,STAT_E,CT_E_CONN,CT_F_E_CONN,CT_E_D_AN,CT_E_A_CA,CT_F_D_TORT1,CT_F_A_TORT1,INT_D,INT_R,INT_G,JSC,JSC_INT_D,INT_R_INT_D,INT_D_INT_G,PASS_TEST
t1_20x20_test00020,0.3825080096721649,2,1,1,1,400,201,199,0.5024999976158142,0.9975000023841858,0.9950249791145325,1,0.2071080058813095,0.37313398718833923,78,74,0.9487180113792419,54,60,0.9549999833106995,0.954774022102356,8.990347600627336e+26,6.226059743567107e+24,5.989637730675939e+27,1.9818300008773804,1.0225000381469727,0.006925271824002266,0.15009835362434387,True
t1_80x80_test00280,0.3510420024394989,3,10,2,1,6400,3390,3010,0.5296869874000549,0.9984369874000549,0.9997050166130066,0.9970099925994873,0.8241710066795349,1,2052,2012,0.9805070161819458,1832,1703,0.3484799861907959,0.5078309774398804,5.350458343669808e+27,1.42113922947392e+27,6.122668565385808e+27,8.819040298461914,0.7645461559295654,0.2656107544898987,0.8738768696784973,True
t1_80x80_test00650,0.3559589982032776,1,9,1,1,6400,3438,2962,0.5371879935264587,0.9987499713897705,1,0.9972990155220032,0.8371909856796265,1,2129,2097,0.9849690198898315,1950,1764,0.31529998779296875,0.5280969738960266,5.39262199281211e+27,1.2661731500250742e+27,6.193172906679242e+27,9.274979591369629,0.7977859973907471,0.23479729890823364,0.8707365393638611,True
t1_80x80_test00380,0.3534820079803467,6,11,4,1,6400,3415,2985,0.533594012260437,0.9981250166893005,0.9994140267372131,0.996649980545044,0.8261809945106506,1,2031,1983,0.9763659834861755,1836,1714,0.34075599908828735,0.5068910121917725,5.34043925288059e+27,1.2143430380532673e+27,6.171836074318016e+27,9.189979553222656,0.7981986403465271,0.22738635540008545,0.8652918338775635,True
t1_20x20_test00720,0.35927700996398926,1,1,1,1,400,211,189,0.5274999737739563,1,1,1,0.6100710034370422,0.9905210137367249,204,204,1,181,138,0.5355449914932251,0.735450029373169,3.126569643583076e+27,3.177430268473345e+26,6.178144565643319e+27,6.192530155181885,0.9186993837356567,0.10162672400474548,0.5060693621635437,True
t1_20x20_test00390,0.3666520118713379,1,1,1,1,400,204,196,0.5099999904632568,1,1,1,0.4364829957485199,0.7058820128440857,168,168,1,123,116,0.7598040103912354,0.8163269758224487,2.3358613220578652e+27,1.2427720901085122e+26,6.28223142588387e+27,4.869060039520264,0.9668775796890259,0.053204022347927094,0.371820330619812,True
t1_20x20_test00090,0.39289799332618713,1,1,1,1,400,209,191,0.5224999785423279,1,1,1,0.2418680042028427,0.4258370101451874,82,82,1,67,61,0.9808610081672668,0.9842929840087891,1.1294036030133221e+27,2.2284579090181659e+24,6.186679062469486e+27,2.475600004196167,1.0167278051376343,0.0019731279462575912,0.18255409598350525,True
t1_40x40_test00070,0.34932300448417664,3,6,3,1,1600,838,762,0.5237500071525574,0.9962499737739563,1,0.9921259880065918,0.7295219898223877,1,623,602,0.9662920236587524,562,499,0.49403300881385803,0.5992059707641602,4.710119615692133e+27,1.323471983744973e+27,6.12160190085649e+27,7.4969801902771,0.7382913827896118,0.2809847891330719,0.7694260478019714,True
t1_20x20_test00800,0.3487490117549896,1,1,1,1,400,209,191,0.5224999785423279,1,1,1,0.6448569893836975,1,222,222,1,195,152,0.5980859994888306,0.7748690247535706,3.4943342636132306e+27,4.2273909020979004e+26,5.977531353901293e+27,6.836510181427002,0.9074932932853699,0.120978444814682,0.5845781564712524,True
t1_20x20_test00670,0.3602469861507416,1,2,1,1,400,210,190,0.5249999761581421,0.9975000023841858,1,0.9947370290756226,0.589372992515564,0.9761899709701538,200,196,0.9800000190734863,173,134,0.561905026435852,0.7460319995880127,2.8964510860560794e+27,2.032093511627285e+26,6.120905942096077e+27,5.827849864959717,0.9332877397537231,0.07015804201364517,0.4732062816619873,True
t1_40x40_test00840,0.3508780002593994,3,3,3,1,1600,852,748,0.5325000286102295,0.9987499713897705,1,0.9973260164260864,0.758201003074646,1,687,679,0.9883549809455872,631,546,0.45187801122665405,0.662198007106781,4.3856830032902124e+27,6.208387486043332e+26,6.179025877288185e+27,8.27068042755127,0.8747367858886719,0.14156033098697662,0.7097693085670471,True
t1_40x40_test00490,0.35182398557662964,1,1,1,1,1600,851,749,0.5318750143051147,1,1,1,0.7365009784698486,1,618,618,1,573,510,0.4582839906215668,0.6475300192832947,4.7134595093871427e+27,1.4221875948331172e+27,6.174387332810386e+27,7.388969898223877,0.7271391749382019,0.3017290532588959,0.763388991355896,True
t1_20x20_test00920,0.3391219973564148,4,1,4,1,400,206,194,0.5149999856948853,1,1,1,0.6481770277023315,1,227,227,1,190,160,0.6407769918441772,0.7731959819793701,3.6783696078171436e+27,3.367416606102413e+26,5.894178043703781e+27,7.450739860534668,0.9395447373390198,0.0915464535355568,0.6240682601928711,True
t1_80x80_test00480,0.3534570038318634,4,11,1,2,6400,3405,2995,0.5320309996604919,0.9981250166893005,0.999118983745575,0.9969949722290039,0.8305240273475647,1,2079,2031,0.9769120216369629,1873,1726,0.3403880000114441,0.5375080108642578,5.298786209614249e+27,1.190088521075391e+27,6.154766490369873e+27,9.122989654541016,0.7986090183258057,0.22459645569324493,0.8609239459037781,True
t1_80x80_test00170,0.3503130078315735,5,16,3,1,6400,3386,3014,0.5290619730949402,0.9973440170288086,0.999409019947052,0.9950230121612549,0.8218770027160645,1,2077,2009,0.9672600030899048,1830,1698,0.3395389914512634,0.49049699306488037,5.454963133344093e+27,1.5939078926934216e+27,6.122158549805658e+27,8.685700416564941,0.7385610938072205,0.29219406843185425,0.8910195827484131,True
t1_20x20_test00970,0.3391219973564148,4,1,4,1,400,206,194,0.5149999856948853,1,1,1,0.6481770277023315,1,227,227,1,190,160,0.6407769918441772,0.7731959819793701,3.6783696078171436e+27,3.367416606102413e+26,5.894178043703781e+27,7.450739860534668,0.9395447373390198,0.0915464535355568,0.6240682601928711,True
t1_40x40_test00520,0.35523900389671326,3,1,3,1,1600,857,743,0.5356249809265137,1,1,1,0.7382799983024597,1,645,645,1,590,525,0.46557798981666565,0.6581429839134216,4.25053212117744e+27,6.460394359792382e+26,6.200919358598579e+27,8.01509952545166,0.874659538269043,0.15199024975299835,0.6854680776596069,True
t1_80x80_test00370,0.3503369987010956,3,8,2,2,6400,3389,3011,0.5295310020446777,0.9989060163497925,0.9997050166130066,0.9980069994926453,0.8251479864120483,1,2014,1986,0.986096978187561,1825,1714,0.35360100865364075,0.5094839930534363,5.553483504092961e+27,1.7741071995737185e+27,6.105923644133363e+27,8.528989791870117,0.7123697996139526,0.3194584250450134,0.9095239043235779,True
t1_80x80_test00640,0.3559589982032776,1,9,1,1,6400,3438,2962,0.5371879935264587,0.9987499713897705,1,0.9972990155220032,0.8371909856796265,1,2129,2097,0.9849690198898315,1950,1764,0.31529998779296875,0.5280969738960266,5.39262199281211e+27,1.2661731500250742e+27,6.193172906679242e+27,9.274979591369629,0.7977859973907471,0.23479729890823364,0.8707365393638611,True
t1_20x20_test00490,0.35857701301574707,1,1,1,1,400,203,197,0.5074999928474426,1,1,1,0.5003169775009155,0.8029559850692749,176,176,1,143,121,0.753695011138916,0.7512689828872681,2.649346766586011e+27,1.4340666708272876e+26,6.355982984430087e+27,5.545869827270508,0.970966637134552,0.054129067808389664,0.4168272316455841,True
t1_40x40_test00880,0.3508780002593994,3,3,3,1,1600,852,748,0.5325000286102295,0.9987499713897705,1,0.9973260164260864,0.758201003074646,1,687,679,0.9883549809455872,631,546,0.45187801122665405,0.662198007106781,4.3856830032902124e+27,6.208387486043332e+26,6.179025877288185e+27,8.27068042755127,0.8747367858886719,0.14156033098697662,0.7097693085670471,True
t1_40x40_test00240,0.3571160137653351,1,1,1,1,1600,857,743,0.5356249809265137,1,1,1,0.7217050194740295,1,581,581,1,550,493,0.4492419958114624,0.6675639748573303,4.577807761279281e+27,1.3306430448231632e+27,6.188673672012688e+27,7.2856597900390625,0.7382181882858276,0.29067254066467285,0.7397074103355408,True
t1_40x40_test00980,0.35168901085853577,3,1,3,1,1600,854,746,0.5337499976158142,1,1,1,0.7523040175437927,1,677,677,1,618,544,0.4192039966583252,0.6528149843215942,4.269897955827878e+27,6.782535016639912e+26,6.138114835855464e+27,8.01455020904541,0.8706328868865967,0.15884537994861603,0.6956366896629333,True
t1_80x80_test00210,0.3506709933280945,3,16,2,1,6400,3385,3015,0.528905987739563,0.9975000023841858,0.9997050166130066,0.9950249791145325,0.8219410181045532,1,1996,1932,0.9679359793663025,1782,1671,0.33215099573135376,0.5086669921875,5.307413382882641e+27,1.350639462973017e+27,6.141315419739229e+27,8.830889701843262,0.7717825174331665,0.25448164343833923,0.8642144799232483,True
t1_20x20_test00740,0.35927700996398926,1,1,1,1,400,211,189,0.5274999737739563,1,1,1,0.6100710034370422,0.9905210137367249,204,204,1,181,138,0.5355449914932251,0.735450029373169,3.126569643583076e+27,3.177430268473345e+26,6.178144565643319e+27,6.192530155181885,0.9186993837356567,0.10162672400474548,0.5060693621635437,True
t1_20x20_test00850,0.3487490117549896,1,1,1,1,400,209,191,0.5224999785423279,1,1,1,0.6448569893836975,1,222,222,1,195,152,0.5980859994888306,0.7748690247535706,3.4943342636132306e+27,4.2273909020979004e+26,5.977531353901293e+27,6.836510181427002,0.9074932932853699,0.120978444814682,0.5845781564712524,True
t1_40x40_test00170,0.3544920086860657,1,1,1,1,1600,854,746,0.5337499976158142,1,1,1,0.7219420075416565,1,609,609,1,554,499,0.4672130048274994,0.6179620027542114,4.493448291873013e+27,1.1994210978371622e+27,6.231903985684307e+27,7.413959980010986,0.7653214931488037,0.26692667603492737,0.721039354801178,True
t1_20x20_test00000,0.38736701011657715,4,1,1,1,400,204,196,0.5099999904632568,0.9925000071525574,0.985293984413147,1,0.19883500039577484,0.3676469922065735,76,64,0.842104971408844,50,59,1,0.9795920252799988,7.695893821049834e+26,1.7493378870031342e+24,6.063157302968685e+27,1.7046899795532227,1.0274478197097778,0.0022730794735252857,0.12692882120609283,True
t1_20x20_test00330,0.3833500146865845,1,1,1,1,400,211,189,0.5274999737739563,1,1,1,0.3811819851398468,0.6208530068397522,148,148,1,111,104,0.7819910049438477,0.8518519997596741,2.0859644606829426e+27,1.945553747751969e+26,6.2796801673915e+27,4.19566011428833,0.9329680800437927,0.09326878935098648,0.3321768641471863,True
t1_20x20_test00220,0.3970769941806793,1,1,1,1,400,216,184,0.5400000214576721,1,1,1,0.32762598991394043,0.5370370149612427,132,132,1,96,84,0.8796300292015076,0.9782609939575195,1.766968604765098e+27,9.69645954121214e+24,6.345360611322682e+27,3.7942299842834473,0.9960203766822815,0.0054876240901649,0.27846622467041016,True
t1_20x20_test00430,0.3794580101966858,1,1,1,1,400,212,188,0.5299999713897705,1,1,1,0.44418099522590637,0.7169809937477112,178,178,1,131,117,0.7358490228652954,0.829787015914917,2.614108467890838e+27,1.945410047615635e+26,6.58326694147574e+27,5.220980167388916,0.9264070391654968,0.07441964000463486,0.39708372950553894,True
t1_40x40_test00270,0.3571160137653351,1,1,1,1,1600,857,743,0.5356249809265137,1,1,1,0.7217050194740295,1,581,581,1,550,493,0.4492419958114624,0.6675639748573303,4.577807761279281e+27,1.3306430448231632e+27,6.188673672012688e+27,7.2856597900390625,0.7382181882858276,0.29067254066467285,0.7397074103355408,True
t1_40x40_test01150,0.3505539894104004,2,2,2,1,1600,849,751,0.5306249856948853,0.9993749856948853,1,0.9986680150032043,0.760981023311615,1,700,696,0.9942860007286072,631,560,0.45583000779151917,0.6586670279502869,4.286475528218087e+27,5.0442278560119e+26,6.167708135716177e+27,8.33178997039795,0.9015946984291077,0.11767774075269699,0.6949868202209473,True
t1_40x40_test00080,0.3509339988231659,3,4,2,1,1600,842,758,0.5262500047683716,0.9975000023841858,0.9988120198249817,0.996042013168335,0.725957989692688,1,623,607,0.9743180274963379,560,503,0.48751500248908997,0.5933769941329956,4.650144380768068e+27,1.31320245995821e+27,6.154534504116402e+27,7.495729923248291,0.7476888298988342,0.28240033984184265,0.7555639147758484,True
t1_40x40_test00440,0.35182398557662964,1,1,1,1,1600,851,749,0.5318750143051147,1,1,1,0.7365009784698486,1,618,618,1,573,510,0.4582839906215668,0.6475300192832947,4.7134595093871427e+27,1.4221875948331172e+27,6.174387332810386e+27,7.388969898223877,0.7271391749382019,0.3017290532588959,0.763388991355896,True
t1_40x40_test00400,0.35182398557662964,1,1,1,1,1600,851,749,0.5318750143051147,1,1,1,0.7365009784698486,1,618,618,1,573,510,0.4582839906215668,0.6475300192832947,4.7134595093871427e+27,1.4221875948331172e+27,6.174387332810386e+27,7.388969898223877,0.7271391749382019,0.3017290532588959,0.763388991355896,True
t1_40x40_test01360,0.3524619936943054,2,3,2,1,1600,855,745,0.534375011920929,0.9987499713897705,1,0.997314989566803,0.7704370021820068,1,713,705,0.9887800216674805,657,561,0.37193000316619873,0.6406459808349609,4.326473086884277e+27,4.441877836270788e+26,6.147623320768722e+27,8.531530380249023,0.9146739840507507,0.1026674136519432,0.703763484954834,True
t1_80x80_test00740,0.3540610074996948,1,8,1,2,6400,3425,2975,0.5351560115814209,0.9990620017051697,1,0.9979829788208008,0.8383479714393616,1,2152,2128,0.9888479709625244,1950,1791,0.33167898654937744,0.5079150199890137,5.557890062317289e+27,1.4868059490275114e+27,6.165064200781581e+27,9.054400444030762,0.7556542158126831,0.26751264929771423,0.9015137553215027,True
t1_80x80_test00570,0.35568198561668396,4,9,3,1,6400,3431,2969,0.5360940098762512,0.9985939860343933,0.9997090101242065,0.9973049759864807,0.8331339955329895,1,2138,2102,0.983161985874176,1924,1743,0.3099130094051361,0.5336040258407593,5.116309246349683e+27,8.131397836797702e+26,6.156853776355302e+27,9.471050262451172,0.8586471676826477,0.1589309424161911,0.8309940695762634,True
t1_20x20_test00290,0.38128501176834106,1,1,1,1,400,210,190,0.5249999761581421,1,1,1,0.37831199169158936,0.619047999382019,144,144,1,110,104,0.7666670083999634,0.8631579875946045,2.016972162107743e+27,1.1029830324528227e+26,6.339377372988886e+27,4.237569808959961,0.9745191931724548,0.054685089737176895,0.31816565990448,True
t1_20x20_test00080,0.3842709958553314,1,1,1,1,400,203,197,0.5074999928474426,1,1,1,0.23291899263858795,0.4088670015335083,84,84,1,62,60,0.9556649923324585,0.9796950221061707,1.0594835807851675e+27,4.033735403309636e+24,6.104393007097103e+27,2.2924299240112305,1.003633737564087,0.003807265777140856,0.17356082797050476,True
t1_40x40_test01110,0.3505539894104004,2,2,2,1,1600,849,751,0.5306249856948853,0.9993749856948853,1,0.9986680150032043,0.760981023311615,1,700,696,0.9942860007286072,631,560,0.45583000779151917,0.6586670279502869,4.286475528218087e+27,5.0442278560119e+26,6.167708135716177e+27,8.33178997039795,0.9015946984291077,0.11767774075269699,0.6949868202209473,True
t1_80x80_test00460,0.3534570038318634,4,11,1,2,6400,3405,2995,0.5320309996604919,0.9981250166893005,0.999118983745575,0.9969949722290039,0.8305240273475647,1,2079,2031,0.9769120216369629,1873,1726,0.3403880000114441,0.5375080108642578,5.298786209614249e+27,1.190088521075391e+27,6.154766490369873e+27,9.122989654541016,0.7986090183258057,0.22459645569324493,0.8609239459037781,True
t1_80x80_test00510,0.35568198561668396,4,9,3,1,6400,3431,2969,0.5360940098762512,0.9985939860343933,0.9997090101242065,0.9973049759864807,0.8331339955329895,1,2138,2102,0.983161985874176,1924,1743,0.3099130094051361,0.5336040258407593,5.116309246349683e+27,8.131397836797702e+26,6.156853776355302e+27,9.471050262451172,0.8586471676826477,0.1589309424161911,0.8309940695762634,True
t1_40x40_test01200,0.3499230146408081,3,1,3,1,1600,851,749,0.5318750143051147,1,1,1,0.7650420069694519,1,717,717,1,642,552,0.4371330142021179,0.6301739811897278,4.3761647784960835e+27,5.613505446173021e+26,6.133336981566421e+27,8.401280403137207,0.8904820680618286,0.12827454507350922,0.7135047316551208,True
t1_20x20_test00440,0.3794580101966858,1,1,1,1,400,212,188,0.5299999713897705,1,1,1,0.44418099522590637,0.7169809937477112,178,178,1,131,117,0.7358490228652954,0.829787015914917,2.614108467890838e+27,1.945410047615635e+26,6.58326694147574e+27,5.220980167388916,0.9264070391654968,0.07441964000463486,0.39708372950553894,True
t1_40x40_test00760,0.35389700531959534,4,4,4,1,1600,856,744,0.5350000262260437,0.9981250166893005,1,0.9959679841995239,0.7505170106887817,1,666,654,0.9819819927215576,610,523,0.446262001991272,0.663968026638031,4.256005639078991e+27,4.225243332152839e+26,6.174619319063857e+27,8.43589973449707,0.9193960428237915,0.09927720576524734,0.6892741918563843,True
t1_20x20_test00640,0.36191698908805847,1,1,1,1,400,208,192,0.5199999809265137,1,1,1,0.5523859858512878,0.903846025466919,202,202,1,159,135,0.6201919913291931,0.7291669845581055,2.880671003305665e+27,3.242466109379615e+26,6.31855055620781e+27,5.502530097961426,0.8860172033309937,0.11255939304828644,0.4559069573879242,True
t1_80x80_test00240,0.3506709933280945,3,16,2,1,6400,3385,3015,0.528905987739563,0.9975000023841858,0.9997050166130066,0.9950249791145325,0.8219410181045532,1,1996,1932,0.9679359793663025,1782,1671,0.33215099573135376,0.5086669921875,5.307413382882641e+27,1.350639462973017e+27,6.141315419739229e+27,8.830889701843262,0.7717825174331665,0.25448164343833923,0.8642144799232483,True
t1_80x80_test00750,0.3540610074996948,1,8,1,2,6400,3425,2975,0.5351560115814209,0.9990620017051697,1,0.9979829788208008,0.8383479714393616,1,2152,2128,0.9888479709625244,1950,1791,0.33167898654937744,0.5079150199890137,5.557890062317289e+27,1.4868059490275114e+27,6.165064200781581e+27,9.054400444030762,0.7556542158126831,0.26751264929771423,0.9015137553215027,True
t1_20x20_test00380,0.36591100692749023,1,1,1,1,400,203,197,0.5074999928474426,1,1,1,0.4356659948825836,0.704433023929596,168,168,1,123,119,0.7438420057296753,0.8172590136528015,2.399468499529115e+27,1.1579487035355347e+26,6.190622238482682e+27,4.986350059509277,0.9639202952384949,0.048258550465106964,0.38759732246398926,True
t1_40x40_test01130,0.3505539894104004,2,2,2,1,1600,849,751,0.5306249856948853,0.9993749856948853,1,0.9986680150032043,0.760981023311615,1,700,696,0.9942860007286072,631,560,0.45583000779151917,0.6586670279502869,4.286475528218087e+27,5.0442278560119e+26,6.167708135716177e+27,8.33178997039795,0.9015946984291077,0.11767774075269699,0.6949868202209473,True
t1_80x80_test00360,0.3503369987010956,3,8,2,2,6400,3389,3011,0.5295310020446777,0.9989060163497925,0.9997050166130066,0.9980069994926453,0.8251479864120483,1,2014,1986,0.986096978187561,1825,1714,0.35360100865364075,0.5094839930534363,5.553483504092961e+27,1.7741071995737185e+27,6.105923644133363e+27,8.528989791870117,0.7123697996139526,0.3194584250450134,0.9095239043235779,True
t1_40x40_test00920,0.35168901085853577,3,1,3,1,1600,854,746,0.5337499976158142,1,1,1,0.7523040175437927,1,677,677,1,618,544,0.4192039966583252,0.6528149843215942,4.269897955827878e+27,6.782535016639912e+26,6.138114835855464e+27,8.01455020904541,0.8706328868865967,0.15884537994861603,0.6956366896629333,True
t1_80x80_test00780,0.3540610074996948,1,8,1,2,6400,3425,2975,0.5351560115814209,0.9990620017051697,1,0.9979829788208008,0.8383479714393616,1,2152,2128,0.9888479709625244,1950,1791,0.33167898654937744,0.5079150199890137,5.557890062317289e+27,1.4868059490275114e+27,6.165064200781581e+27,9.054400444030762,0.7556542158126831,0.26751264929771423,0.9015137553215027,True
t1_80x80_test00620,0.3559589982032776,1,9,1,1,6400,3438,2962,0.5371879935264587,0.9987499713897705,1,0.9972990155220032,0.8371909856796265,1,2129,2097,0.9849690198898315,1950,1764,0.31529998779296875,0.5280969738960266,5.39262199281211e+27,1.2661731500250742e+27,6.193172906679242e+27,9.274979591369629,0.7977859973907471,0.23479729890823364,0.8707365393638611,True
t1_40x40_test00280,0.3571160137653351,1,1,1,1,1600,857,743,0.5356249809265137,1,1,1,0.7217050194740295,1,581,581,1,550,493,0.4492419958114624,0.6675639748573303,4.577807761279281e+27,1.3306430448231632e+27,6.188673672012688e+27,7.2856597900390625,0.7382181882858276,0.29067254066467285,0.7397074103355408,True
t1_40x40_test00480,0.35182398557662964,1,1,1,1,1600,851,749,0.5318750143051147,1,1,1,0.7365009784698486,1,618,618,1,573,510,0.4582839906215668,0.6475300192832947,4.7134595093871427e+27,1.4221875948331172e+27,6.174387332810386e+27,7.388969898223877,0.7271391749382019,0.3017290532588959,0.763388991355896,True
